Object ID,Name,Entity type,Name,Minimal Disambiguation,Information,Name (transliteration),Name (Greek font),Name (Latinized),Name in Latin texts,Alternative names,Alternative name for,Alternative name for - Object ID,Possibly the same as,Possibly the same as - Object ID,Possibly same as,Possibly same as - Object ID,Rationalized form of,Rationalized form of - Object ID,Rationalized form,Rationalized form - Object ID,Personification of,Personification of - Object ID,Identified with the author,Identified with the author - Object ID,Wikidata,PALP,Trismegistos,LIMC headword,Digital LIMC,Gender,Part of,Part of - Object ID
8187869,👤 Athamas (Orchomenian),Agent,Athamas,(Orchomenian),"son of Aiolos, sometimes Theban",,,,,,,,,,,,,,,,,,,,Q143880,,https://www.trismegistos.org/name/2160,,UBN2kmMPTqyryKSV0wglGQE,Male,,
8187917,👤 Boutes (Athenian I),Agent,Boutes,(Athenian I),son of Pandion,,,,Butes,,,,,,,,,,,,,,,,Q13156677,,https://www.trismegistos.org/name/45917,,rzBKGyL_Q3Otyt9S6EZdNw8,Male,,
8188542,👤 Hyacinthos (Spartan),Agent,Hyacinthos,(Spartan),"loved by Apollo, associated with the flower",,,,,,,,,,,,,,,,,,,,Q207273,,https://www.trismegistos.org/name/12688,,Apa0IqHCQcKdeNkSFBCbcQc,Male,,
8189968,👤 Rhesos (Pontic Thracian),Agent,Rhesos,(Pontic Thracian),son of Euterpe and Strymon,,,,,Rhessos,,,,,,,,,,,,,,,Q1061782,,https://www.trismegistos.org/name/26296,,sPhgAirMRdW=oGcdCnSfqQv,Male,,
11323152,👤 Bastet,Agent,Bastet,,Egyptian goddess of cats,,,,,Bubastis,,,,,,,,,,,,,,,Q129106,,,,JSu8XT2SQV6PAgAs5IEtKgt,Female,,
10270856,👤 Mousaios,Agent,Mousaios,,Athenian poet and prophet,,,,,Musaeus,,,,,,,,,,,,,,9880172,Q728059,,https://www.trismegistos.org/name/4161,,vNI0yFjUQHOsbUKz9BfkOwt,Male,,
8189305,👤 Polydectes (Seriphian),Agent,Polydectes,(Seriphian),"son of Magnes, king of Seriphos",,,,,,,,,,,,,,,,,,,,Q771241,,https://www.trismegistos.org/name/49287,Polydektes,tQX8miz0SYG0_S=OmTmM0wg,Male,,
10056006,👤 Britomartis,Agent,Britomartis,,"daughter of Zeus and Carme, Cretan, favorite of Artemis, also called Dictynna, Aphaia",,,,,,,,,,,,,,,,,,,,Q831577,,,,UqWLysgOThK6paYCeTLb=wL,Female,,
10056006,👤 Britomartis,Agent,Britomartis,,"daughter of Zeus and Carme, Cretan, favorite of Artemis, also called Dictynna, Aphaia",,,,,,,,,,,,,,,,,,,,Q831577,,,,ObobyB5VQdKOF18PQsix5AJ,Female,,
11303166,👤 Hymenaios (s. of Apollo or Muse),Agent,Hymenaios,(s. of Apollo or Muse),"personification of the wedding song, raised from dead by Asclepios",,,,,,,,,,,,,,,,,,,,Q506770,,https://www.trismegistos.org/name/9424,,c=2_0pvyTYWqgDT7b=BYaAp,Male,,
11319534,👤 Achates,Agent,Achates,,companion of Aeneas,,,,,,,,,,,,,,,,,,,,Q555521,,,,qah2_cGDQsuyGLma9oDzMgg,Male,,
8187965,👤 Celeos (Eleusinian),Agent,Celeos,(Eleusinian),king of Eleusis,Keleos,,Celeus,,,,,,,,,,,,,,,,,Q1141300,,https://www.trismegistos.org/name/46312,,HwI9LJkQQD6eVA4k2mQNngy,Male,,
8360058,👤 Tartaros (personification),Agent,Tartaros,(personification),personification of Tartaros,,,,,,,,,,,,,,,,🌍 Tartaros,8190061,,,Q101322,,,,vvYZmHXCQ821IMS2V_R5RgN,Male,,
11258399,👤 Agon,Agent,Agon,,"personification of competition, contest",,,,,,,,,,,,,,,,,,,,Q395236,,,,t4=5tg_JRpysEj=3sTsE6g=,Male,,
8189966,👤 Python,Agent,Python,,"guardian serpent at Delphi, killed by Apollo",,,,,Delphyna,,,,,,,,,,,,,,,Q15721,,https://www.trismegistos.org/name/5376,,v3=qAeFLRnWGUdBUZeGefwq,Undefined,,
8189966,👤 Python,Agent,Python,,"guardian serpent at Delphi, killed by Apollo",,,,,Dracon,,,,,,,,,,,,,,,Q15721,,https://www.trismegistos.org/name/5376,,v3=qAeFLRnWGUdBUZeGefwq,Undefined,,
8189966,👤 Python,Agent,Python,,"guardian serpent at Delphi, killed by Apollo",,,,,Delphyne,,,,,,,,,,,,,,,Q15721,,https://www.trismegistos.org/name/5376,,v3=qAeFLRnWGUdBUZeGefwq,Undefined,,
8194301,👥 the Lapiths,Collective,the Lapiths,,group that fought the centaurs at the wedding of Peirithous,,,,,,,,,,,,,,,,,,,,Q334794,lapith,,Lapithai,K42_sYNmTq6BAZQH84_d1w0,Undefined,,
8189114,👤 Pandora (first woman),Agent,Pandora,(first woman),first mortal woman,,,,,,,,,,,,,,,,,,,,Q131346,,,,0k3GMR6aTuyQWRAIVXotCQr,Female,,
8189832,👤 Miletos,Agent,Miletos,,"eponym of Miletos, from Crete, son of Apollo",,,,,,,,,,,,,,,,,,,,Q2470261,,https://www.trismegistos.org/name/48846,,JdyIZQQ7SU237POsfI7raQ_,Male,,
8188005,👤 the Chimaira,Agent,the Chimaira,,fire-breathing monster,,,,Chimaera,,,,,,,,,,,,,,,,Q182790,,,,4F7GAqqlRqy55r2YZBrV8Qx,Female,,
8189241,👤 Phineus (Thracian),Agent,Phineus,(Thracian),blind prophet tormented by the Harpies,,,,,,,,,,,,,,,,,,,,Q641065,,https://www.trismegistos.org/name/46233,,Soxkyz71TfeEmjrUC5M0=wk,Male,,
8189357,👤 Prometheus (fire-stealer),Agent,Prometheus,(fire-stealer),"son of Iapetos, steals fire",,,,,,,,,,,,,,,,,,,,Q83160,,https://www.trismegistos.org/name/42842,Prometheus,K5LpiiARQ92ZE1hltkiLsAz,Male,,
8188421,👤 Ganymedes (s. of Tros),Agent,Ganymedes,(s. of Tros),"son of Tros, abducted by Zeus",,,,,,,,,11300370,👤 Ganymedes (f. of Ballanaios),11300370,,,,,,,,,Q131588,ganymede,https://www.trismegistos.org/name/3333,,p3mvwJMFTvyJS4HOfiG1pwD,Male,,
8188421,👤 Ganymedes (s. of Tros),Agent,Ganymedes,(s. of Tros),"son of Tros, abducted by Zeus",,,,,,,,,11300370,👤 Ganymedes (f. of Ballanaios),11300370,,,,,,,,,Q131588,ganymede,https://www.trismegistos.org/name/3333,,IdxdazVnRjuvdsfodRecMAM,Male,,
10108488,👤 Pandareos,Agent,Pandareos,,punished by the gods,,,,,,,,,,,,,,,,,,,,Q1428276,,,,un7oM1RzTkCICFP8oCtzlwA,Male,,
8188377,👤 Eurytos (giant),Agent,Eurytos,(giant),giant,,,,,,,,,,,,,,,,,,,,Q3060927,,https://www.trismegistos.org/name/3051,,sZenyR_STgilfp9otnD3owe,Male,,
8189928,👤 Opheltes (Nemean),Agent,Opheltes,(Nemean),son of Lycourgos,,,,,,,,,,,,,,,,,,,,Q1419140,,https://www.trismegistos.org/name/46207,,4pRAD2U5T=uTpqyIBUcMKgn,Male,,
8189875,👤 Nereus,Agent,Nereus,,"son of Pontos and Ge, father of the Nereids",,,,,Halios Geron,,,,,,,,,,,,,,,Q189527,,https://www.trismegistos.org/name/18640,Nereus,8oNvbFe1T6O0kIx3fSOxlgM,Male,,
